time,command(rad),position(rad),velocity(rad/s),torque
1.1920928955078125e-06,1.5672925941044595,1.564621925354004,-0.006546120624989271,0.34073394536972046
0.003069639205932617,1.5679655781933148,1.564621925354004,-0.03978027030825615,0.35526055097579956
0.0061528682708740234,1.5686417942204238,1.564621925354004,0.17875944077968597,0.30698099732398987
0.009220123291015625,1.5693144867252817,1.564621925354004,0.022659648209810257,0.28134584426879883
0.012287378311157227,1.5699871491878377,1.564621925354004,-0.10222018510103226,0.3300526440143585
0.015354633331298828,1.5706597716146253,1.564621925354004,-0.032730601727962494,0.3770504295825958
0.01842212677001953,1.571332396289808,1.564621925354004,0.06797894090414047,0.33774319291114807
0.02148890495300293,1.572004804118172,1.5650033950805664,0.029709314927458763,0.43729305267333984
0.024555683135986328,1.572677141957074,1.5650033950805664,0.19789426028728485,0.5112077593803406
0.027622222900390625,1.573349347561429,1.565384864807129,-0.1445181965827942,0.3949950337409973
0.03069162368774414,1.5740220902471465,1.5657663345336914,0.10322728008031845,0.4317387640476227
0.03376889228820801,1.5746964568631308,1.566147804260254,0.2673838436603546,0.5530785322189331
0.03684210777282715,1.5753698247645773,1.566147804260254,0.0790569931268692,0.4116578996181488
0.03991222381591797,1.5760423932665393,1.566529393196106,0.0629434660077095,0.47019150853157043
0.04297995567321777,1.5767143093819584,1.5669108629226685,0.23112840950489044,0.5693141222000122
0.04604601860046387,1.5773857200507668,1.567292332649231,0.33788052201271057,0.35782405734062195
0.049121856689453125,1.578059120733229,1.5676738023757935,0.03675898537039757,0.4270389974117279
0.05219125747680664,1.5787309517391055,1.5684367418289185,0.42046234011650085,0.6043488383293152
0.05526566505432129,1.5794037080334111,1.568818211555481,0.3137102425098419,0.40311282873153687
0.05833268165588379,1.5800746668852252,1.5691996812820435,0.41945526003837585,0.5171892642974854
0.061400413513183594,1.5807455922711515,1.5699626207351685,0.34090182185173035,0.3642328381538391
0.0644674301147461,1.5814161613668118,1.570344090461731,0.5443350672721863,0.48599985241889954
0.0675363540649414,1.582086937486011,1.5707255601882935,0.2210574448108673,0.46890974044799805
0.07059288024902344,1.5827547851281276,1.571107029914856,0.24724192917346954,0.42148470878601074
0.07365942001342773,1.5834245914786187,1.571869969367981,0.34291601181030273,0.3659418523311615
0.07672643661499023,1.5840942623669743,1.5722514390945435,0.22005034983158112,0.3646601140499115
0.07979297637939453,1.5847635796180721,1.5730143785476685,0.10826276242733002,0.40354010462760925
0.08286070823669434,1.5854328974663188,1.573395848274231,0.18681620061397552,0.3501335084438324
0.08593034744262695,1.5861023616157932,1.574158787727356,0.32780957221984863,0.34757000207901
0.08900713920593262,1.5867731048075817,1.5749218463897705,0.3338521420955658,0.37106889486312866
0.09206390380859375,1.5874391937000054,1.5756847858428955,0.4416113495826721,0.30783551931381226
0.09513044357299805,1.5881071139561196,1.576066255569458,0.27946898341178894,0.34457921981811523
0.09819746017456055,1.5887748289067511,1.576829195022583,0.3691004812717438,0.37534141540527344
0.10126709938049316,1.5894427953009609,1.577592134475708,0.3761501610279083,0.33902496099472046
0.10434436798095703,1.590112091053443,1.578355073928833,0.46779584884643555,0.3779049217700958
0.10741901397705078,1.5907804755962198,1.5787365436553955,0.3006179928779602,0.2830548584461212
0.11049079895019531,1.5914478880481366,1.5794994831085205,0.19789426028728485,0.2851911187171936
0.11355948448181152,1.5921142676966924,1.579880952835083,0.37212178111076355,0.31210803985595703
0.11662578582763672,1.5927797609273744,1.580643892288208,0.5725337862968445,0.30612650513648987
0.11969232559204102,1.5934449274380333,1.581406831741333,0.45168229937553406,0.3039902448654175
0.12275958061218262,1.5941098606019133,1.5821698904037476,0.304646372795105,0.24802014231681824
0.12582635879516602,1.5947742920714743,1.5829328298568726,0.3489585816860199,0.19504082202911377
0.128892183303833,1.5954381089534362,1.5836957693099976,0.5010299682617188,0.1770962029695511
0.13196110725402832,1.596102178533893,1.58407723903656,0.3318379521369934,0.3035629689693451
0.1350386142730713,1.596767675072759,1.5852216482162476,0.5574273467063904,0.29715418815612793
0.1381211280822754,1.5974338123897796,1.58560311794281,0.4889448285102844,0.29159989953041077
0.1411881446838379,1.5980961518852976,1.586366057395935,0.2683909237384796,0.3501335084438324
0.14425420761108398,1.5987578280755095,1.58712899684906,0.30666056275367737,0.32150760293006897
0.14732074737548828,1.5994191399542983,1.5875104665756226,0.26335546374320984,0.27750056982040405
0.15038752555847168,1.6000800261211028,1.587891936302185,0.3036392629146576,0.3838864862918854
0.15345358848571777,1.6007402713607812,1.58865487575531,0.3962920606136322,0.32877087593078613
0.15652012825012207,1.6014001226301828,1.589417815208435,0.25932708382606506,0.3185168206691742
0.15958666801452637,1.6020594674106379,1.5901808738708496,0.2552987039089203,0.30869001150131226
0.1626577377319336,1.602719268758832,1.590562343597412,0.3962920606136322,0.34757000207901
0.1657259464263916,1.6033779285399075,1.591325283050537,0.39024949073791504,0.2890363931655884
0.1687924861907959,1.6040356940450036,1.5917067527770996,0.3801785409450531,0.32791638374328613
0.171858549118042,1.604692811771149,1.5924696922302246,0.14653238654136658,0.27835509181022644
0.17492461204528809,1.605349374285754,1.5932326316833496,0.4446326494216919,0.33945220708847046
0.1779928207397461,1.6060058307382867,1.5939955711364746,0.4436255395412445,0.3458609879016876
0.18106579780578613,1.6066627305490204,1.5947585105895996,0.35701534152030945,0.30997177958488464
0.18413400650024414,1.6073180253181092,1.5955214500427246,0.5624628067016602,0.3330434262752533
0.1872096061706543,1.6079743014454824,1.595902919769287,0.4275120198726654,0.28049135208129883
0.19028019905090332,1.6086289030166159,1.596665859222412,0.32881665229797363,0.35825130343437195
0.19334983825683594,1.6092826861096998,1.597428798675537,0.5121080279350281,0.3787594437599182
0.19641876220703125,1.6099356922806887,1.5978103876113892,0.2542915940284729,0.33987945318222046
0.19948840141296387,1.6105882161971559,1.5985733270645142,0.4154268801212311,0.3338979184627533
0.20255708694458008,1.6112398934596583,1.5993362665176392,0.5664911866188049,0.3326161503791809
0.20563316345214844,1.6118924844062998,1.6000992059707642,0.5715266466140747,0.24545662105083466
0.20870637893676758,1.6125438028954633,1.6004806756973267,0.5423209071159363,0.37534141540527344
0.21178078651428223,1.6131946987378714,1.6012436151504517,0.3701075613498688,0.32236209511756897
0.21484971046447754,1.6138437503194842,1.6016250848770142,0.24724192917346954,0.3450064957141876
0.21791625022888184,1.6144916061271049,1.6023880243301392,0.35500115156173706,0.42404821515083313
0.22098445892333984,1.615139113056019,1.6031509637832642,0.3842069208621979,0.35867857933044434
0.22405362129211426,1.6157861096314596,1.6035324335098267,0.37212178111076355,0.444129079580307
0.22713232040405273,1.616434391881847,1.6042953729629517,0.13746853172779083,0.47147324681282043
0.23019933700561523,1.6170794827961383,1.6050583124160767,0.3358663320541382,0.42404821515083313
0.23326826095581055,1.6177242346423684,1.6054397821426392,0.3539940416812897,0.46848249435424805
0.23634672164916992,1.6183702364967902,1.6062028408050537,0.19487297534942627,0.4616464376449585
0.23941612243652344,1.619013576151224,1.6065843105316162,0.30867475271224976,0.47061875462532043
